danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.81,0.598,-10.723,0,0.144,0.376,0.0,0.0556,0.53,139.988,0,0,0,0,0,0,0,0,1,0,0,0
0.396,0.728,-7.819,1,0.109,0.0354,6.64e-06,0.3,0.921,180.265,1,0,0,0,0,0,0,0,0,0,0,0
0.733,0.715,-6.164,1,0.121,0.637,0.0,0.139,0.703,99.986,0,0,0,0,0,0,0,0,0,1,0,0
0.3,0.929,-3.214,1,0.0636,0.000259,2.26e-06,0.329,0.59,147.116,0,1,0,0,0,0,0,0,0,0,0,0
0.715,0.574,-7.822,0,0.068,0.00192,0.7,0.389,0.45,87.009,0,0,0,0,0,0,0,0,0,1,0,0
0.727,0.831,-5.713,1,0.31,0.0632,3.63e-05,0.487,0.504,84.991,0,0,0,0,0,0,1,0,0,0,0,0
0.289,0.309,-9.379,0,0.0427,0.992,2.15e-06,0.151,0.451,176.318,0,1,0,0,0,0,0,0,0,0,0,0
0.192,0.0227,-32.377,1,0.0397,0.989,0.9,0.0778,0.0354,68.257,0,1,0,0,0,0,0,0,0,0,0,0
0.497,0.879,-4.81,1,0.0583,0.0755,0.0,0.0651,0.276,74.977,0,0,0,0,0,0,0,0,0,0,0,1
0.724,0.68,-8.502,1,0.163,0.293,0.0,0.0567,0.668,136.062,0,0,0,0,0,0,0,0,0,1,0,0
0.624,0.86,-3.012,1,0.124,0.0704,0.0,0.0819,0.816,100.897,0,0,0,0,0,0,0,0,1,0,0,0
0.494,0.832,-5.506,0,0.0384,0.00183,6.04e-06,0.283,0.367,144.116,0,0,0,0,0,0,0,0,0,1,0,0
0.654,0.27,-17.551,0,0.043,0.511,0.00949,0.638,0.727,97.733,0,0,0,0,0,0,0,0,0,0,0,1
0.344,0.982,-7.031,1,0.119,0.00029,0.685,0.167,0.0733,121.521,0,0,0,0,0,0,0,0,0,0,0,1
0.64,0.94,-5.45,1,0.0443,0.643,0.00138,0.339,0.947,172.361,0,0,0,0,0,0,0,0,0,1,0,0
0.706,0.804,-8.739,1,0.045,0.00118,0.865,0.131,0.225,124.006,0,0,1,0,0,0,0,0,0,0,0,0
0.603,0.872,-4.111,1,0.0596,0.137,0.0,0.596,0.416,118.022,0,0,0,0,0,0,0,0,0,1,0,0
0.648,0.534,-6.286,1,0.282,0.00704,0.0551,0.0991,0.683,93.012,0,0,0,0,0,0,0,0,1,0,0,0
0.525,0.683,-6.509,1,0.0304,0.136,0.0,0.0904,0.746,124.982,0,0,0,0,0,0,0,0,0,1,0,0
0.718,0.947,-9.572,0,0.0466,0.0328,0.692,0.0763,0.346,121.992,0,0,0,0,0,0,0,0,0,0,0,1
0.238,0.915,-5.935,1,0.0886,0.000327,0.0613,0.197,0.608,152.438,0,1,0,0,0,0,0,0,0,0,0,0
0.585,0.831,-6.206,0,0.0453,0.244,4.64e-06,0.0539,0.701,137.271,0,0,0,0,0,0,0,1,0,0,0,0
0.588,0.626,-8.181,1,0.0286,0.374,0.000218,0.601,0.76,104.333,1,0,0,0,0,0,0,0,0,0,0,0
0.594,0.716,-8.429,1,0.043,0.659,0.000829,0.363,0.847,132.309,0,0,0,1,0,0,0,0,0,0,0,0
0.496,0.957,-3.958,0,0.0371,1.25e-05,0.0935,0.0665,0.642,140.011,0,0,0,0,0,1,0,0,0,0,0,0
0.325,0.234,-14.881,0,0.0427,0.797,0.322,0.703,0.162,68.826,0,1,0,0,0,0,0,0,0,0,0,0
0.899,0.542,-7.393,0,0.0806,0.202,0.206,0.371,0.423,125.039,0,0,0,0,0,0,0,1,0,0,0,0
0.641,0.683,-6.409,1,0.283,0.241,2.61e-06,0.0932,0.533,83.245,0,0,0,0,0,0,0,0,1,0,0,0
0.467,0.744,-4.45,0,0.0346,0.000801,0.0,0.131,0.316,144.058,0,0,1,0,0,0,0,0,0,0,0,0
0.641,0.637,-5.965,1,0.06,0.318,0.0,0.0755,0.674,91.952,0,0,1,0,0,0,0,0,0,0,0,0
0.668,0.636,-11.366,0,0.048,0.000889,0.00413,0.956,0.667,109.343,0,0,0,0,0,0,0,0,0,0,0,1
0.609,0.11,-17.072,1,0.0418,0.954,0.00976,0.661,0.167,109.972,0,0,0,0,0,0,0,0,0,0,0,1
0.814,0.938,-6.637,0,0.104,0.0614,0.892,0.0894,0.618,126.058,0,0,0,0,1,0,0,0,0,0,0,0
0.541,0.916,-5.964,0,0.0612,0.00326,2.04e-06,0.0967,0.627,156.015,0,0,0,0,0,0,0,1,0,0,0,0
0.803,0.712,-4.57,1,0.044,0.00172,2.44e-05,0.0629,0.509,116.016,0,0,0,0,0,0,0,0,1,0,0,0
0.251,0.943,-5.907,1,0.163,2.05e-05,0.109,0.0603,0.41,151.466,0,0,0,0,0,0,0,0,0,0,1,0
0.675,0.685,-10.118,1,0.0418,0.00775,0.793,0.0951,0.197,121.999,0,0,0,0,0,0,0,1,0,0,0,0
0.516,0.509,-9.452,1,0.253,0.655,2.92e-06,0.116,0.436,91.106,0,0,1,0,0,0,0,0,0,0,0,0
0.752,0.452,-11.4,1,0.35,0.142,0.000184,0.235,0.842,99.74,1,0,0,0,0,0,0,0,0,0,0,0
0.583,0.672,-6.446,1,0.0398,0.957,0.0816,0.758,0.51,88.929,1,0,0,0,0,0,0,0,0,0,0,0
0.427,0.587,-5.527,1,0.033,0.642,0.0,0.315,0.579,130.144,0,0,1,0,0,0,0,0,0,0,0,0
0.669,0.533,-7.022,1,0.0289,0.364,0.0845,0.0856,0.503,100.046,0,1,0,0,0,0,0,0,0,0,0,0
0.673,0.209,-8.544,1,0.0361,0.869,2.27e-06,0.155,0.669,82.411,0,0,0,0,0,0,0,0,0,0,1,0
0.76,0.404,-10.028,1,0.0425,0.763,0.00119,0.106,0.665,150.023,0,0,0,0,0,0,0,0,1,0,0,0
0.383,0.496,-7.101,1,0.0455,0.787,0.0,0.1,0.368,55.693,0,0,0,0,0,0,0,0,0,0,0,1
0.553,0.823,-3.194,1,0.0689,0.0201,0.0,0.111,0.552,133.781,0,0,0,0,0,0,0,1,0,0,0,0
0.544,0.621,-4.557,1,0.139,0.122,0.0,0.101,0.747,101.337,0,1,0,0,0,0,0,0,0,0,0,0
0.8,0.803,-9.156,0,0.0787,0.25,0.895,0.152,0.668,128.006,0,0,0,0,0,0,0,0,0,0,0,1
0.624,0.904,-4.774,1,0.0479,0.00112,0.0231,0.604,0.649,130.153,0,0,0,0,1,0,0,0,0,0,0,0
0.707,0.957,-1.702,1,0.0518,0.517,4.57e-05,0.076,0.868,156.044,0,0,0,0,0,0,0,0,0,1,0,0
0.351,0.449,-7.262,1,0.033,0.672,0.0,0.105,0.116,135.78,0,0,1,0,0,0,0,0,0,0,0,0
0.324,0.47,-6.397,1,0.0332,0.449,4.87e-06,0.12,0.15,176.202,0,0,1,0,0,0,0,0,0,0,0,0
0.251,0.794,-4.483,1,0.054,0.791,1.84e-05,0.174,0.197,86.09,0,1,0,0,0,0,0,0,0,0,0,0
0.519,0.794,-5.063,0,0.0419,0.00327,0.0056,0.0974,0.114,75.0,0,0,0,0,0,0,0,0,0,1,0,0
0.774,0.747,-3.908,0,0.082,0.0241,6.11e-06,0.342,0.833,119.964,0,1,0,0,0,0,0,0,0,0,0,0
0.383,0.13,-15.727,1,0.0409,0.93,0.0,0.106,0.142,80.088,0,0,1,0,0,0,0,0,0,0,0,0
0.662,0.976,-3.853,1,0.0405,0.00851,0.0,0.103,0.729,124.005,0,0,0,0,0,0,0,1,0,0,0,0
0.447,0.805,-4.812,0,0.0553,0.459,0.0,0.188,0.522,159.747,0,0,0,0,0,0,0,0,0,0,1,0
0.496,0.117,-12.884,1,0.0301,0.933,0.0,0.126,0.318,78.068,1,0,0,0,0,0,0,0,0,0,0,0
0.285,0.207,-13.217,1,0.0324,0.858,1e-05,0.254,0.274,139.901,0,1,0,0,0,0,0,0,0,0,0,0
0.449,0.939,-3.524,0,0.0778,2.91e-05,7.78e-05,0.625,0.19,101.671,0,0,0,0,1,0,0,0,0,0,0,0
0.324,0.561,-7.134,1,0.0333,0.628,0.929,0.623,0.891,205.666,1,0,0,0,0,0,0,0,0,0,0,0
0.548,0.8,-6.926,1,0.0597,0.038,0.00255,0.0678,0.805,159.654,0,0,0,0,0,0,0,0,0,1,0,0
0.566,0.96,-6.211,0,0.0456,0.00767,0.0304,0.595,0.268,149.973,0,0,0,0,0,0,0,0,0,0,0,1
0.817,0.929,-3.895,1,0.0668,0.00306,0.882,0.0405,0.81,131.49,0,0,0,0,0,0,1,0,0,0,0,0
0.393,0.365,-11.29,0,0.036,0.251,0.334,0.433,0.206,139.786,0,0,0,0,0,0,0,0,0,0,1,0
0.433,0.96,-1.991,0,0.113,0.00399,0.0352,0.075,0.078,174.012,0,0,0,0,1,0,0,0,0,0,0,0
0.871,0.496,-11.835,0,0.0544,0.0144,0.00671,0.106,0.598,136.037,0,0,0,0,0,0,0,0,0,0,0,1
0.143,0.326,-15.819,1,0.0743,0.989,0.982,0.11,0.039,185.969,0,0,0,0,1,0,0,0,0,0,0,0
0.386,0.963,-1.605,1,0.072,0.000285,0.000203,0.0731,0.306,99.75,1,0,0,0,0,0,0,0,0,0,0,0
0.448,0.852,-7.713,1,0.0567,0.179,6.58e-06,0.821,0.565,156.903,0,0,0,0,0,0,0,0,0,1,0,0
0.808,0.642,-6.665,0,0.0881,0.061,0.0,0.0803,0.353,135.002,0,0,0,0,0,0,1,0,0,0,0,0
0.34,0.994,-1.281,0,0.149,0.00105,0.0,0.501,0.3,199.995,0,0,0,0,0,0,0,0,0,0,0,1
0.361,0.399,-8.094,1,0.0385,0.961,1.27e-05,0.126,0.316,78.183,0,0,1,0,0,0,0,0,0,0,0,0
0.355,0.664,-4.517,1,0.03,0.0531,0.0062,0.104,0.434,144.786,0,0,0,0,0,0,0,0,0,1,0,0
0.372,0.831,-5.385,0,0.0709,0.14,0.0,0.116,0.427,82.598,0,0,0,0,1,0,0,0,0,0,0,0
0.121,0.975,-7.291,1,0.19,9.25e-06,0.544,0.151,0.0793,157.537,0,0,0,0,0,1,0,0,0,0,0,0
0.691,0.32,-7.301,1,0.0713,0.829,0.687,0.11,0.407,89.973,0,1,0,0,0,0,0,0,0,0,0,0
0.797,0.969,-1.605,0,0.0979,0.156,0.0,0.112,0.524,118.06,0,0,0,0,1,0,0,0,0,0,0,0
0.369,0.948,-3.036,0,0.0907,3.89e-05,0.79,0.675,0.502,193.075,0,0,0,0,0,0,0,0,0,1,0,0
0.42,0.76,-9.57,0,0.0838,0.00828,0.841,0.0893,0.0447,143.965,0,0,0,0,0,0,0,0,0,0,0,1
0.47,0.276,-9.669,1,0.0338,0.877,0.0,0.111,0.292,151.959,0,0,0,0,0,0,0,1,0,0,0,0
0.325,0.937,-3.822,1,0.178,1.2e-05,0.0123,0.129,0.512,134.383,0,0,0,0,0,1,0,0,0,0,0,0
0.432,0.183,-21.279,1,0.537,0.962,0.0,0.672,0.48,168.406,0,0,0,0,0,0,0,0,1,0,0,0
0.867,0.834,-4.068,0,0.125,0.0375,2.29e-06,0.072,0.927,130.036,0,0,0,0,0,0,0,0,0,0,0,1
0.796,0.894,-1.883,1,0.0502,0.000671,0.859,0.0685,0.619,127.009,1,0,0,0,0,0,0,0,0,0,0,0
0.431,0.328,-9.884,1,0.243,0.934,8.44e-06,0.233,0.372,78.395,1,0,0,0,0,0,0,0,0,0,0,0
0.797,0.631,-12.201,1,0.0748,0.0184,0.00112,0.403,0.732,139.006,0,1,0,0,0,0,0,0,0,0,0,0
0.799,0.825,-6.975,1,0.0474,0.0405,0.361,0.0992,0.62,127.788,0,0,0,0,1,0,0,0,0,0,0,0
0.902,0.485,-6.095,1,0.404,0.731,0.000623,0.129,0.284,144.032,0,0,0,0,0,0,0,1,0,0,0,0
0.766,0.417,-8.588,1,0.0315,0.686,0.926,0.233,0.595,90.022,0,0,0,1,0,0,0,0,0,0,0,0
0.347,0.819,-5.841,0,0.0881,0.000559,0.582,0.172,0.102,59.639,1,0,0,0,0,0,0,0,0,0,0,0
0.605,0.532,-10.872,0,0.0337,0.0919,0.000576,0.0762,0.139,102.804,0,1,0,0,0,0,0,0,0,0,0,0
0.77,0.953,-3.258,1,0.104,0.0259,0.00656,0.121,0.323,130.077,0,0,0,0,0,0,0,0,0,1,0,0
0.247,0.995,-3.642,1,0.174,4.79e-06,0.363,0.503,0.425,116.378,0,0,0,0,0,0,0,0,0,1,0,0
0.531,0.256,-14.161,1,0.0253,0.411,1.24e-05,0.377,0.355,82.246,0,0,0,0,0,1,0,0,0,0,0,0
0.434,0.921,-4.656,1,0.0679,0.000314,0.0,0.89,0.626,181.99,0,0,0,0,0,0,0,1,0,0,0,0
0.63,0.589,-5.71,1,0.0289,0.0157,0.868,0.128,0.573,75.005,0,0,0,0,0,0,0,1,0,0,0,0
0.485,0.925,-3.798,0,0.0441,0.000175,0.782,0.273,0.541,174.973,0,0,0,0,0,0,0,1,0,0,0,0
0.597,0.785,-3.219,0,0.04,0.113,0.0,0.336,0.575,126.002,0,0,0,0,1,0,0,0,0,0,0,0
0.614,0.785,-8.012,0,0.0398,0.0132,0.925,0.115,0.263,133.999,0,0,0,0,0,0,0,0,0,0,1,0
0.755,0.719,-1.461,0,0.0297,0.654,1.57e-06,0.0984,0.807,104.042,0,0,0,0,0,0,1,0,0,0,0,0
0.471,0.681,-9.946,0,0.0442,0.153,0.0,0.119,0.361,128.063,0,1,0,0,0,0,0,0,0,0,0,0
0.599,0.681,-9.474,1,0.0359,0.577,0.0504,0.0847,0.863,121.144,0,0,0,0,0,0,0,0,0,1,0,0
0.749,0.711,-11.171,0,0.0584,0.0279,0.71,0.0979,0.48,124.988,0,0,0,0,0,0,0,0,0,0,1,0
0.653,0.69,-5.003,1,0.0756,0.109,0.0,0.136,0.652,110.214,0,1,0,0,0,0,0,0,0,0,0,0
0.205,1.0,-24.878,0,0.0447,0.943,0.525,0.963,1e-05,132.289,0,0,0,0,0,0,1,0,0,0,0,0
0.681,0.917,-5.295,1,0.0573,0.343,0.0,0.663,0.772,116.03,0,0,0,0,0,0,0,0,1,0,0,0
0.326,0.879,-14.048,1,0.0671,6.19e-06,0.732,0.223,0.304,136.633,0,0,0,1,0,0,0,0,0,0,0,0
0.58,0.114,-27.919,1,0.049,0.995,0.916,0.11,0.225,104.383,1,0,0,0,0,0,0,0,0,0,0,0
0.526,0.841,-4.463,1,0.0369,0.135,0.0,0.27,0.507,119.993,0,0,0,0,1,0,0,0,0,0,0,0
0.373,0.333,-9.876,1,0.0303,0.59,0.0,0.121,0.0815,110.241,0,0,0,0,0,0,0,0,0,0,1,0
0.611,0.738,-7.341,0,0.0443,0.142,0.00837,0.0575,0.725,119.791,0,0,0,0,1,0,0,0,0,0,0,0
0.791,0.372,-8.365,0,0.0752,0.467,0.0,0.337,0.519,126.071,0,0,0,0,0,1,0,0,0,0,0,0
0.479,0.365,-9.044,1,0.141,0.704,0.0,0.128,0.785,61.541,0,0,0,0,0,0,0,0,1,0,0,0
0.678,0.325,-10.359,0,0.0338,0.707,0.00111,0.125,0.593,123.267,0,0,0,0,0,0,0,0,0,0,0,1
0.4,0.728,-6.467,1,0.0448,0.0183,0.0,0.0913,0.205,139.821,0,0,1,0,0,0,0,0,0,0,0,0
0.622,0.577,-7.472,1,0.0247,0.0944,0.000153,0.338,0.495,95.001,1,0,0,0,0,0,0,0,0,0,0,0
0.542,0.644,-9.358,1,0.0296,0.584,0.362,0.055,0.425,164.888,0,0,1,0,0,0,0,0,0,0,0,0
0.889,0.383,-8.738,1,0.0362,0.562,7.37e-05,0.143,0.767,139.979,0,0,0,0,0,0,0,0,0,0,0,1
0.325,0.641,-6.999,1,0.0355,3.06e-06,0.922,0.275,0.361,141.442,0,0,0,1,0,0,0,0,0,0,0,0
0.956,0.377,-7.965,1,0.0804,0.566,0.414,0.313,0.566,119.993,0,0,0,0,0,0,1,0,0,0,0,0
0.302,0.819,-6.736,1,0.0497,0.0636,0.000501,0.0964,0.405,113.913,0,1,0,0,0,0,0,0,0,0,0,0
0.787,0.287,-16.78,0,0.241,0.574,0.0445,0.113,0.793,141.567,0,0,0,0,0,0,0,0,0,0,1,0
0.581,0.66,-13.641,1,0.937,0.864,0.0,0.753,0.294,133.094,0,0,1,0,0,0,0,0,0,0,0,0
0.32,0.257,-18.484,1,0.0529,0.256,0.903,0.176,0.0282,95.983,0,0,1,0,0,0,0,0,0,0,0,0
0.5,0.912,-5.725,0,0.0635,0.00181,0.0,0.152,0.312,139.865,0,0,0,0,0,0,0,0,0,1,0,0
0.572,0.557,-5.317,1,0.0748,0.286,0.0,0.0468,0.322,127.688,0,0,0,0,0,0,0,1,0,0,0,0
0.841,0.726,-5.057,0,0.166,0.0945,2.33e-05,0.19,0.619,99.963,0,0,0,0,0,0,0,0,0,0,1,0
0.722,0.833,-3.915,1,0.094,0.0556,0.0,0.195,0.53,93.941,0,0,0,0,0,0,1,0,0,0,0,0
0.326,0.894,-4.972,0,0.0643,0.000984,0.0,0.363,0.164,129.43,0,1,0,0,0,0,0,0,0,0,0,0
0.502,0.205,-16.82,0,0.0297,0.983,0.913,0.0762,0.203,84.982,0,0,0,0,0,1,0,0,0,0,0,0
0.294,0.00785,-29.64,0,0.0667,0.994,0.956,0.0929,0.173,70.958,0,0,0,0,1,0,0,0,0,0,0,0
0.661,0.75,-6.677,0,0.351,0.394,0.0,0.111,0.599,80.727,0,0,0,0,0,0,0,1,0,0,0,0
0.501,0.731,-6.135,1,0.0385,0.304,0.0,0.0661,0.879,201.077,0,0,0,0,0,0,0,1,0,0,0,0
0.523,0.281,-11.37,0,0.104,0.755,0.0,0.0932,0.289,106.891,0,0,0,0,0,0,0,0,0,0,0,1
0.818,0.581,-10.355,0,0.142,0.769,0.000254,0.0978,0.875,75.018,0,0,0,0,0,0,0,0,0,0,1,0
0.641,0.71,-9.871,1,0.036,0.0175,0.926,0.146,0.0364,122.021,0,0,0,0,0,0,0,0,0,0,0,1
0.492,0.948,-4.531,1,0.137,0.000582,0.000288,0.166,0.112,134.026,0,0,0,0,0,1,0,0,0,0,0,0
0.616,0.829,-10.03,1,0.0383,0.151,0.886,0.469,0.171,117.966,0,0,0,0,0,0,1,0,0,0,0,0
0.334,0.431,-5.861,1,0.0347,0.672,0.0,0.101,0.212,201.701,0,0,0,0,0,0,1,0,0,0,0,0
0.79,0.969,-1.884,1,0.06,0.251,0.0,0.306,0.817,125.062,0,0,0,0,0,0,0,1,0,0,0,0
0.828,0.502,-6.053,1,0.0445,0.172,0.00102,0.0544,0.677,105.953,1,0,0,0,0,0,0,0,0,0,0,0
0.441,0.491,-8.103,1,0.0301,0.762,0.0696,0.175,0.152,108.443,0,0,0,0,0,0,0,0,1,0,0,0
0.503,0.727,-5.456,1,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,0,1,0,0,0,0,0,0,0,0,0,0
0.181,0.197,-24.981,0,0.0481,0.909,0.0141,0.0866,0.2,101.809,0,0,0,0,0,1,0,0,0,0,0,0
0.767,0.978,-4.027,1,0.0538,0.0299,1.84e-05,0.287,0.961,125.023,0,0,0,0,0,0,0,0,0,1,0,0
